goodreads_book_id,tag_id,count
38447,30574,348218
20910157,30574,286059
21853621,30574,275551
237209,30574,249532
29056083,30574,248603
9969571,30574,244228
18342,30574,214212
17675462,30574,208617
13158800,30574,205604
23437156,30574,198698
15839976,30574,191615
16096824,30574,188981
25899336,30574,184635
30555488,30574,177759
18692431,30574,175234
8909152,30574,167644
20170404,30574,165591
26114135,30574,159524
20560137,30574,148725
22716447,30574,141371
1812457,30574,137492
27362503,30574,135271
13099738,30574,133977
22609310,30574,132435
15796700,30574,131126
28587957,30574,125238
28187230,30574,124024
16069030,30574,119917
13547180,30574,117942
13206900,30574,116376
18798983,30574,115724
18812405,30574,114384
13206828,30574,108696
22318578,30574,107869
18293427,30574,104120
24612118,30574,102294
16429619,30574,100709
18584855,30574,99921
448873,30574,95056
18879761,30574,94945
18712886,30574,94114
24120519,30574,93332
12954620,30574,91665
23212667,30574,89948
102868,30574,88365
20983362,30574,87545
216363,30574,86845
16158542,30574,84979
28260587,30574,82903
21414439,30574,82369
28257707,30574,81826
25526965,30574,77990
20613470,30574,77688
23209971,30574,77571
11250317,30574,76770
17333319,30574,76197
17199504,30574,76063
18966819,30574,76033
89724,30574,75298
20698530,30574,74185
15704307,30574,73141
21104828,30574,72609
20696006,30574,72546
30831912,30574,72443
23341894,30574,71976
13638125,30574,71776
23346377,30574,69993
22450859,30574,68537
23766634,30574,68336
26200563,30574,66976
24529123,30574,66194
18302455,30574,64816
16130,30574,64744
25781157,30574,64395
22544024,30574,62564
17347389,30574,62311
3722183,30574,62263
26893819,30574,61915
29780253,30574,61192
29868610,30574,60781
29405093,30574,58689
3398625,30574,58306
18660447,30574,57987
25372801,30574,57341
25735012,30574,57004
23705512,30574,56735
25558608,30574,56170
19351043,30574,55663
18243700,30574,55033
17934530,30574,54735
21936809,30574,52981
15797938,30574,52027
17378508,30574,52025
23602562,30574,52000
51964,30574,51799
17838528,30574,51615
18505784,30574,51590
28678119,30574,51424
21418013,30574,50991
30065028,30574,50766
22875451,30574,50757
18528190,30574,50122
18635113,30574,49082
29906980,30574,48783
6178648,30574,48768
11178225,30574,47934
38447,8717,47919
23014670,30574,47494
28233082,30574,47073
16085481,30574,46887
1128434,30574,45612
15451058,30574,45361
66559,30574,45317
23129410,30574,45309
18170143,30574,44538
22840421,30574,44256
72536,30574,44229
21343,30574,44203
20342617,30574,44063
25489625,30574,43610
22571552,30574,43491
29430013,30574,43224
62953,30574,43060
18003300,30574,42287
20727654,30574,42218
28449270,30574,41620
25817531,30574,41240
25883848,30574,41021
27904311,30574,40950
18007535,30574,40454
7108725,30574,40298
27401883,30574,40121
22934446,30574,39584
29236299,30574,39546
23398625,30574,39540
27213163,30574,39535
23363928,30574,39042
24911006,30574,38922
4954833,30574,38915
25817162,30574,38760
60931,30574,38489
16065004,30574,38424
25574782,30574,38421
25663717,30574,38411
10194157,30574,38048
26192467,30574,37597
25279165,30574,37124
25852784,30574,36953
347610,30574,36631
20174424,30574,36610
27209486,30574,36280
4961048,30574,36089
22733729,30574,35985
18465566,30574,35865
15790883,30574,35656
11438,30574,34876
24228353,30574,34863
31845516,30574,34617
29975458,30574,34577
78411,30574,34557
23604559,30574,34176
22489107,30574,33968
25422234,30574,33934
38462,30574,33641
24728470,30574,33490
25817493,30574,33368
5094,30574,33360
12326627,30574,33215
23751850,30574,32956
18467818,30574,32914
21569527,30574,32823
6443834,30574,32672
23719378,30574,32666
18114142,30574,32127
68428,30574,31906
17237214,30574,31868
18144115,30574,31824
1618,30574,31674
21416690,30574,31620
17262366,30574,31509
23492741,30574,31439
14061957,30574,31333
16181775,30574,31065
29008738,30574,30990
1466455,30574,30914
7093952,30574,30908
34084,30574,30707
368916,30574,30678
17235026,30574,30359
18806240,30574,30199
23208397,30574,29780
20575446,30574,29755
24019187,30574,29363
28965131,30574,29358
737957,30574,27907
18739426,30574,27808
10846336,30574,27728
25332115,30574,27705
22151696,30574,27565
10054335,30574,27500
29581,30574,27425
13105527,30574,27346
20454672,30574,27183
1848444,30574,27074
26154406,30574,26946
1914973,30574,26901
23512999,30574,26472
25564446,30574,26285
24040551,30574,26015
23363874,30574,25854
29430788,30574,25745
43615,30574,25516
22609391,30574,24933
23093359,30574,24922
13597723,30574,24736
338691,30574,24537
31538614,30574,24465
1282954,30574,24249
26722820,30574,24191
9876989,30574,24171
27170141,30574,24134
22816087,30574,23923
26109394,30574,23678
23013953,30574,23633
16068905,30574,23629
17333324,30574,23608
22054340,30574,23588
15704486,30574,23452
28204534,30574,23406
297792,30574,23378
24422492,30574,23290
44659,30574,23199
5587960,30574,23180
65111,30574,23137
31538647,30574,23052
28220985,30574,23041
1991039,30574,22999
361459,30574,22826
25454883,30574,22803
18342,8717,22547
16000044,30574,22381
23602473,30574,22363
18667307,30574,22076
324277,30574,22036
26131641,30574,21981
17910544,30574,21901
29340182,30574,21870
23719479,30574,21851
22749539,30574,21837
22571275,30574,21782
18764826,30574,21647
6839093,30574,21636
25430584,30574,21598
20613761,30574,21515
15793184,30574,21292
25251757,30574,21278
239186,30574,21226
6115138,30574,21036
25242224,30574,20706
22669832,30574,20691
18505832,30574,20615
16158563,30574,20589
15802944,30574,20586
17673307,30574,20571
17346698,30574,20566
217432,30574,20559
29056083,8717,20467
7801229,30574,20395
17834834,30574,20302
9590,30574,20218
21853628,30574,20033
17378527,30574,20026
68487,30574,19984
23453099,30574,19949
23305614,30574,19821
23341607,30574,19682
131123,30574,19632
18966806,30574,19574
12867423,30574,19549
23453112,30574,19535
23164927,30574,19394
464260,30574,19303
15942636,30574,19294
23602561,30574,19163
20299683,30574,19119
26245853,30574,19029
68488,30574,18986
17570538,30574,18973
17910124,30574,18933
22557272,30574,18909
23317538,30574,18499
22923997,30574,18498
25106926,30574,18489
27161845,30574,18443
25111004,30574,18393
25228579,30574,18276
15803059,30574,18261
23245587,30574,18161
1268479,30574,18110
12652457,30574,18098
80534,30574,17894
31538635,30574,17851
23355896,30574,17840
10805160,30574,17818
18630542,30574,17803
13565676,30574,17642
25802884,30574,17593
25813921,30574,17559
16130,8717,17428
12499290,30574,17329
22318578,8717,17208
73186,30574,17054
13642710,30574,16995
25776210,30574,16993
29104680,30574,16933
438492,30574,16887
16158535,30574,16884
86147,30574,16867
23281906,30574,16734
25733990,30574,16685
27083865,30574,16682
21913812,30574,16605
16319,30574,16584
24934065,30574,16524
98687,30574,16495
18339630,30574,16467
25614492,30574,16397
23014603,30574,16387
26228034,30574,16251
25855506,30574,16227
21531503,30574,16135
4407,11305,16071
65110,30574,15965
21996,30574,15947
13630171,30574,15763
4618728,30574,15724
15654,30574,15690
25953369,30574,15637
9969571,8717,15525
204276,30574,15513
8407173,30574,15500
25005214,30574,15420
13628812,30574,15403
27071490,30574,15396
8044557,30574,15282
21853621,8717,15244
25494343,30574,15213
68428,11305,15166
17333302,30574,15162
15733851,30574,15150
23395680,30574,15117
24586590,30574,15116
11071466,30574,15086
23128304,30574,15078
9601,30574,15053
16130537,30574,14964
16256798,30574,14891
18813642,30574,14668
1373381,30574,14551
18667945,30574,14531
25666046,30574,14516
13419891,30574,14498
1812457,8717,14349
23745189,30574,14271
14295,30574,14175
23157777,30574,14168
33288638,30574,14116
18114057,30574,14075
1096390,30574,14073
10875239,30574,14067
25564665,30574,14037
7389,30574,14018
18077875,30574,13950
22367526,30574,13924
52397,30574,13883
29437949,30574,13837
23647129,30574,13832
824062,30574,13759
13546173,30574,13744
6681454,30574,13699
23485372,30574,13674
18869967,30574,13656
20663702,30574,13585
22693222,30574,13549
25241477,30574,13539
27161156,30574,13505
17878931,30574,13435
52318,30574,13349
22744701,30574,13288
27161156,8717,13259
16182601,30574,13113
26114516,30574,13090
16068905,11557,13021
22055283,30574,13018
23168817,30574,12971
18298225,30574,12966
13526165,30574,12939
15703770,30574,12928
8680417,30574,12909
13722902,30574,12800
352921,30574,12762
30002998,30574,12721
8230409,30574,12661
18656030,30574,12638
11553,30574,12565
19090384,30574,12553
16055,30574,12475
17920175,30574,12452
23153154,30574,12450
19103097,30574,12446
17333171,30574,12342
21535271,30574,12286
13513205,30574,12235
13193855,30574,12225
123063,30574,12159
23278537,30574,12088
24961498,30574,12004
8855321,30574,11990
644655,30574,11975
13227319,30574,11938
21611,30574,11935
20705702,30574,11930
24817626,8717,11891
27419654,30574,11847
48019,30574,11810
19631,30574,11764
17573684,30574,11720
28802599,30574,11686
12959045,30574,11571
31140847,30574,11559
30555488,8717,11524
46201,30574,11523
26074181,30574,11469
20706284,30574,11467
22453035,30574,11427
18222699,30574,11383
23846013,30574,11354
23214408,30574,11309
18616975,30574,11262
28390369,30574,11195
28686840,30574,11191
27406704,30574,11178
24480276,30574,11148
25451852,30574,11132
6690798,30574,11086
21457243,30574,11058
65118,30574,11054
25773504,30574,11048
20423680,30574,10965
23012475,30574,10962
25337081,30574,10951
58314,30574,10902
22693231,30574,10901
17978144,30574,10880
23664710,30574,10860
10587120,30574,10805
21418017,30574,10802
28251002,30574,10797
233044,30574,10789
10929432,30574,10788
25041504,8717,10773
25114548,30574,10750
6324090,30574,10703
29430012,30574,10684
25733983,30574,10673
216363,8717,10624
112200,30574,10599
20910157,8717,10565
14061955,30574,10530
25893709,30574,10496
687278,30574,10462
18077769,30574,10392
23533039,30574,10372
80566,30574,10351
19161852,30574,10346
19358975,30574,10310
18505836,30574,10293
18815695,30574,10223
17287009,30574,10190
12609433,30574,10182
194086,30574,10120
55022,30574,10101
20821043,30574,10090
84927,30574,10074
297134,30574,10039
27070127,30574,10029
29056083,11305,10025
16045078,30574,9970
152695,30574,9922
16280689,30574,9905
16343,30574,9895
17851885,30574,9888
18127101,30574,9884
13158800,8717,9880
101869,30574,9838
20926278,30574,9759
23492613,30574,9745
68429,11305,9742
462033,30574,9734
28686830,30574,9731
9151181,30574,9685
18282800,30574,9680
24429934,30574,9620
29639736,8717,9580
38447,11743,9562
12007,30574,9534
9969571,11557,9527
80834,30574,9523
25734248,30574,9473
22642472,30574,9454
21437200,30574,9424
24940998,30574,9419
28257707,8717,9391
7015403,30574,9366
21853645,30574,9366
95622,30574,9359
4987,30574,9325
23929479,30574,9223
22609080,30574,9217
17167572,30574,9215
18172471,30574,9213
7904453,30574,9201
20758175,30574,9151
675905,30574,9150
13230263,30574,9098
639787,30574,9087
23437156,8717,9068
22009741,30574,9030
16077150,30574,9016
23734628,30574,9005
954303,30574,8936
26721568,30574,8900
4201106,30574,8828
24044596,30574,8827
25899336,8717,8824
459386,30574,8818
121648,30574,8816
7896527,30574,8809
60929,30574,8801
38447,11557,8766
25142924,30574,8759
60932,30574,8750
13167062,30574,8740
127712,30574,8731
43615,11305,8723
22341276,30574,8655
8686068,30574,8626
20764879,30574,8620
18209454,30574,8599
27833670,30574,8581
17131869,30574,8553
16360,30574,8541
45109,30574,8534
30831912,8717,8512
23346918,30574,8496
16424,30574,8486
389827,30574,8471
73089,30574,8449
18342,14821,8415
22544764,11305,8342
775346,30574,8330
18594594,30574,8322
1217100,11557,8280
18460392,30574,8248
28187230,8717,8237
23965,30574,8232
18527947,30574,8221
10940958,30574,8217
61903,30574,8203
239399,30574,8203
16096824,11305,8190
10844125,30574,8189
4016515,30574,8166
23209927,30574,8139
78728,30574,8122
13507011,30574,8106
22571612,30574,8104
11256979,30574,8063
44688,30574,8052
178599,30574,8014
17802724,30574,7969
92227,30574,7968
20443235,30574,7967
15677,30574,7964
27276262,30574,7893
16131032,30574,7887
25776122,30574,7851
16096824,11557,7847
104734,30574,7826
17876897,30574,7785
27883214,30574,7762
160848,30574,7746
11734251,30574,7745
25066591,30574,7733
27220736,30574,7733
19547856,30574,7714
7011403,30574,7712
4808763,30574,7708
13206828,11557,7682
16158542,8717,7671
34498,30574,7665
4407,11557,7662
18373214,30574,7657
12037026,30574,7637
13206760,30574,7622
65399,30574,7603
16372,30574,7561
26583370,30574,7538
16045144,30574,7522
27868677,30574,7513
22055262,11305,7505
15738951,30574,7500
25451555,30574,7471
15839976,8717,7455
23481669,30574,7454
25953369,8717,7437
17563539,30574,7413
39664,30574,7404
22609317,30574,7401
46349,30574,7368
22716194,30574,7367
2227371,30574,7346
6792458,8717,7343
26236956,30574,7336
20613470,11557,7328
6606855,30574,7272
293625,30574,7254
68528,30574,7243
23437156,11305,7237
46661,30574,7229
17158513,30574,7229
961831,30574,7222
67931,30574,7188
20518872,30574,7169
16300,30574,7162
28959148,30574,7154
23437156,11557,7150
22557272,20939,7100
16068905,33114,7086
736376,30574,7059
22543496,30574,7047
349090,30574,7045
26214866,30574,7038
20883847,30574,7037
24612624,30574,7036
18498558,30574,7035
12444298,30574,7030
9969571,26837,6983
22055262,30574,6983
22557272,11743,6964
15711341,30574,6944
23604559,8717,6935
3301759,30574,6911
62530,30574,6907
10868182,30574,6869
23766634,8717,6867
26245850,30574,6845
14745338,30574,6840
25067046,30574,6810
511614,30574,6807
17608111,30574,6801
8155,30574,6794
20604826,30574,6789
16096824,8717,6786
28689,30574,6751
28214365,8717,6705
1823,30574,6698
23746004,30574,6684
24453082,8717,6667
4407,30574,6635
29072594,30574,6593
30008702,30574,6589
6584134,30574,6588
20820994,30574,6585
11433,30574,6561
38030,30574,6540
21413662,30574,6489
20797535,30574,6486
34502,30574,6478
23602504,30574,6474
25316313,30574,6473
68487,11305,6459
7717482,30574,6447
9969571,26771,6442
17675462,11557,6433
17910054,30574,6422
9970042,30574,6414
16113737,30574,6403
21996,8717,6401
32501,30574,6388
15704459,30574,6354
13202092,30574,6349
4407,11743,6342
23207027,30574,6330
25781157,8717,6325
18693763,30574,6273
21720,30574,6247
23308084,30574,6235
78418,30574,6232
18006496,11557,6230
15843166,30574,6214
140091,30574,6206
23692271,30574,6201
20613470,11305,6197
61915,30574,6189
32255,30574,6182
68429,30574,6181
133017,30574,6174
18210706,30574,6152
18803640,30574,6140
18692431,8717,6132
20767918,30574,6132
11389875,30574,6081
15283043,30574,6046
2182780,30574,6042
15799151,30574,6018
16304,20939,6016
21722,30574,6016
20170404,8717,6015
4924862,30574,6008
4507,30574,6002
28214365,30574,5992
25893693,30574,5973
17675462,11305,5946
20874139,30574,5926
22544764,30574,5904
17570105,30574,5888
22749750,30574,5885
8680418,30574,5869
32075671,30574,5858
18813642,8717,5833
68428,11557,5818
28016509,30574,5790
26247008,30574,5777
7723542,30574,5775
21413662,8717,5773
10450750,30574,5763
