0,1,2,3,4,5,6,7,8,9,10,11
0.0054644808743169425,4.0,4.0,3.0,5.0,0.0,2.0,3.0,6.0,6,0,3210
0.034608378870673945,4.0,3.0,5.0,7.0,1.0,1.0,3.0,9.0,3,1,13626
0.034608378870673945,3.0,0.0,2.0,7.0,1.0,1.0,1.0,12.0,5,1,4591
0.570127504553734,1.0,2.0,1.0,7.0,1.0,0.0,0.0,9.0,5,0,7480
0.14571948998178505,4.0,3.0,0.0,5.0,1.0,0.0,1.0,24.0,3,1,10031
0.5792349726775956,10.0,0.0,5.0,7.0,1.0,0.0,0.0,15.0,3,0,6590
0.22586520947176683,6.0,2.0,0.0,7.0,1.0,0.0,1.0,24.0,3,1,9794
0.21129326047358832,3.0,4.0,1.0,5.0,0.0,2.0,0.0,15.0,6,1,4049
0.02914389799635701,3.0,3.0,0.0,7.0,0.0,3.0,3.0,1.0,5,0,4804
0.3296903460837887,1.0,0.0,5.0,4.0,2.0,0.0,3.0,1.0,3,0,13366
0.036429872495446255,4.0,0.0,5.0,7.0,0.0,0.0,1.0,24.0,3,1,7229
0.13114754098360654,4.0,3.0,0.0,5.0,1.0,0.0,2.0,9.0,5,0,5608
0.7176684881602914,8.0,0.0,1.0,7.0,0.0,2.0,0.0,3.0,3,1,3257
0.034608378870673945,1.0,0.0,5.0,7.0,0.0,2.0,2.0,9.0,3,1,9481
0.180327868852459,4.0,0.0,5.0,5.0,1.0,0.0,1.0,21.0,3,0,7832
0.6138433515482695,4.0,2.0,1.0,7.0,2.0,3.0,3.0,27.0,5,0,16704
0.453551912568306,4.0,2.0,1.0,7.0,2.0,1.0,1.0,1.0,6,1,13376
0.12750455373406192,4.0,3.0,1.0,7.0,1.0,0.0,1.0,3.0,6,0,13759
0.7395264116575592,1.0,0.0,5.0,7.0,2.0,0.0,3.0,3.0,3,1,11948
0.21493624772313297,6.0,2.0,5.0,7.0,1.0,3.0,2.0,6.0,3,0,9526
0.08743169398907102,4.0,0.0,0.0,7.0,1.0,3.0,1.0,9.0,6,0,5198
0.21493624772313297,4.0,3.0,0.0,7.0,1.0,3.0,0.0,6.0,5,0,13584
0.4899817850637523,2.0,2.0,1.0,7.0,1.0,0.0,1.0,3.0,6,0,5281
0.16029143897996356,3.0,0.0,1.0,7.0,0.0,2.0,3.0,3.0,3,1,3943
0.29143897996357016,1.0,2.0,1.0,7.0,1.0,2.0,0.0,21.0,5,0,8151
0.05282331511839708,4.0,4.0,0.0,7.0,0.0,0.0,0.0,12.0,5,1,4995
0.034608378870673945,10.0,0.0,2.0,7.0,0.0,0.0,1.0,27.0,5,0,4668
0.10200364298724954,10.0,0.0,1.0,7.0,0.0,0.0,2.0,9.0,6,1,4878
0.02185792349726776,6.0,2.0,4.0,7.0,1.0,0.0,2.0,6.0,5,0,12192
0.02914389799635701,8.0,3.0,0.0,6.0,1.0,0.0,0.0,27.0,4,1,3841
0.46994535519125685,4.0,2.0,5.0,5.0,1.0,0.0,2.0,21.0,3,0,5406
0.7887067395264116,6.0,2.0,1.0,7.0,1.0,0.0,2.0,27.0,3,0,15135
0.3096539162112933,1.0,2.0,1.0,7.0,1.0,0.0,0.0,15.0,6,1,6587
0.032786885245901634,1.0,2.0,2.0,7.0,0.0,3.0,3.0,12.0,5,1,6094
0.0837887067395264,3.0,2.0,1.0,7.0,1.0,3.0,3.0,9.0,5,0,7255
0.025500910746812388,8.0,3.0,0.0,7.0,0.0,0.0,0.0,24.0,5,0,3873
0.0273224043715847,3.0,3.0,0.0,7.0,0.0,1.0,1.0,27.0,5,0,5224
0.03825136612021858,4.0,0.0,2.0,7.0,0.0,0.0,0.0,21.0,4,1,7229
0.16211293260473586,3.0,2.0,0.0,5.0,1.0,3.0,3.0,9.0,6,1,9476
0.26229508196721313,3.0,3.0,1.0,7.0,1.0,0.0,1.0,6.0,6,0,11160
0.24408014571948997,1.0,2.0,5.0,7.0,3.0,0.0,0.0,1.0,3,0,12383
0.16029143897996356,4.0,2.0,1.0,7.0,1.0,0.0,3.0,27.0,4,1,10262
0.1530054644808743,1.0,0.0,5.0,7.0,2.0,3.0,3.0,3.0,3,1,6593
0.02185792349726776,1.0,3.0,4.0,6.0,2.0,0.0,1.0,9.0,6,0,13222
0.0054644808743169425,3.0,4.0,3.0,7.0,1.0,2.0,3.0,24.0,6,0,2754
0.06193078324225865,1.0,3.0,0.0,7.0,1.0,0.0,1.0,12.0,6,0,8996
0.007285974499089253,3.0,4.0,3.0,7.0,0.0,3.0,3.0,1.0,4,0,2227
0.42987249544626593,1.0,2.0,1.0,7.0,1.0,1.0,0.0,21.0,5,0,7480
0.30783242258652094,1.0,0.0,5.0,7.0,1.0,3.0,1.0,9.0,3,1,8425
0.13479052823315119,1.0,3.0,0.0,7.0,2.0,0.0,1.0,24.0,5,0,7662
